"Id","SalePrice"
1461,115030.124211794
1462,162238.941073825
1463,181801.516888602
1464,194189.94276793
1465,199721.297900085
1466,168640.348412053
1467,176819.472282326
1468,163474.083155195
1469,195723.797543401
1470,121022.128602135
1471,192866.072398599
1472,93400.483647863
1473,92644.6662981509
1474,150509.971075965
1475,111206.487434273
1476,360809.724457877
1477,254662.110009039
1478,290414.126863159
1479,289071.226936575
1480,470322.563332586
1481,346077.902293669
1482,220554.593400832
1483,178544.570967479
1484,167979.249034825
1485,192277.540919009
1486,197042.855205942
1487,329246.596432145
1488,235257.582262598
1489,196803.334865989
1490,227271.02721114
1491,196519.006449599
1492,91816.4041191562
1493,191996.802118418
1494,298981.266116237
1495,297407.685856998
1496,230610.415572591
1497,181690.073181369
1498,167079.49664421
1499,162033.250113683
1500,156966.376082886
1501,173577.552790597
1502,150239.649642758
1503,286971.419647904
1504,244781.644372241
1505,225153.413752727
1506,197416.292662628
1507,241894.991759135
1508,201536.51335464
1509,160017.834495921
1510,145375.427869971
1511,145969.085500179
1512,180741.01831475
1513,143808.953319167
1514,163285.162611567
1515,188147.188838749
1516,155879.573886811
1517,170864.626249053
1518,136898.936680162
1519,211852.822279591
1520,131379.166941891
1521,130553.206076492
1522,175911.985993366
1523,110842.427438794
1524,123609.115042426
1525,117695.074359218
1526,118737.244571446
1527,102994.071970304
1528,136538.092293276
1529,148380.051792992
1530,179783.993698613
1531,107594.860872103
1532,102604.659969425
1533,156991.586166428
1534,121604.744517471
1535,153772.022223623
1536,112148.665692889
1537,67197.621722025
1538,159322.893872319
1539,199966.285566188
1540,95811.629173464
1541,140118.004443792
1542,142576.530348314
1543,193120.019421733
1544,87161.3677033518
1545,115555.232042793
1546,134536.849604502
1547,133231.187002304
1548,139070.693022549
1549,117205.915158067
1550,136697.462909958
1551,114578.392066012
1552,133699.53454201
1553,153593.329661161
1554,119168.846626535
1555,166966.410077964
1556,88472.652217521
1557,107840.132899559
1558,93406.2597625041
1559,85156.3891038186
1560,139125.313209486
1561,133243.912123413
1562,131588.320283357
1563,121487.618593759
1564,162058.618380508
1565,147828.490893119
1566,239392.465341011
1567,74956.7065137488
1568,239909.552841289
1569,132528.021968824
1570,141892.605210378
1571,122980.155198709
1572,144248.420118852
1573,228274.181160692
1574,126200.417110862
1575,226154.316706078
1576,244386.725441076
1577,185660.495634324
1578,142759.6259329
1579,145118.329768988
1580,193898.808020951
1581,159747.501599377
1582,126508.981435922
1583,307889.156409998
